/* Names data file for localisation
 * The id's should be less than 20 chars 
 *
 * Text like this "*text*" is not final and should not be translated.
 */ 

/*
 * VEHICLES
 */

/* FINAL VEHICLES */
ZNULLDESIGN				_("New Design")
CAM2RESEARCH				_("CAM2 RESEARCH")
CAM2VEHICLES				_("CAM2 VEHICLES")
CAM2CYBORGS					_("CAM2 CYBORGS")
CAM2WEAPONS					_("CAM2 WEAPONS")
CAM2SYSTEMS					_("CAM2 SYSTEMS")
CAM2DEFENSES				_("CAM2 DEFENSES")
CAM2STRUCTURES				_("CAM2 STRUCTURES")
//CAM2-COWall					_("CAM2 Collective Wall")
CAM3RESEARCH				_("CAM3 RESEARCH")
//CAM3VEHICLES				_("CAM3 VEHICLES")
//CAM3CYBORGS					_("CAM3 CYBORGS")
//CAM3WEAPONS					_("CAM3 WEAPONS")
//CAM3SYSTEMS					_("CAM3 SYSTEMS")
//CAM3DEFENSES				_("CAM3 DEFENSES")
//CAM3NOTUSED				_("CAM3 NOT USED")
//CAM3-NXWall					_("CAM3 Nexus Wall")

//R-Comp-IDFAccuracy01			"*IDF Fire Accuracy*"
R-Comp-CommandTurret01			_("Command Turret")
R-Comp-SynapticLink			_("Synaptic Link")

R-Comp-MissileCodes01			_("Missile Targeting Codes") 
R-Comp-MissileCodes02			_("Second Level Missile Targeting Codes")
R-Comp-MissileCodes03			_("Third Level Missile Firing Codes")

R-Cyborg-Armor-Heat01			_("Cyborg Thermal Armor")
R-Cyborg-Armor-Heat02			_("Cyborg Thermal Armor Mk2")
R-Cyborg-Armor-Heat03			_("Cyborg Thermal Armor Mk3")
R-Cyborg-Armor-Heat04			_("Cyborg High Intensity Thermal Armor")
R-Cyborg-Armor-Heat05			_("Cyborg High Intensity Thermal Armor Mk2")
R-Cyborg-Armor-Heat06			_("Cyborg High Intensity Thermal Armor Mk3")

R-Cyborg-Metals01				_("Cyborg Composite Alloys")
R-Cyborg-Metals02				_("Cyborg Composite Alloys Mk2")
R-Cyborg-Metals03				_("Cyborg Composite Alloys Mk3")
R-Cyborg-Metals04				_("Cyborg Dense Composite Alloys")
R-Cyborg-Metals05				_("Cyborg Dense Composite Alloys Mk2")
R-Cyborg-Metals06				_("Cyborg Dense Composite Alloys Mk3")
R-Cyborg-Metals07				_("Cyborg Superdense Composite Alloys")
R-Cyborg-Metals08				_("Cyborg Superdense Composite Alloys Mk2")
R-Cyborg-Metals09				_("Cyborg Superdense Composite Alloys Mk3")
//R-Cyborg-Metals10				_("Cyborg Bonded Laminates")

R-Cyborg-Transport			_("Cyborg Transport")

SuperTransport			_("Super Transport")
R-SuperTransport		_("Super Transport")
SuperTransportBody	_("Super Transport Body")

R-Cyborg-Wpn-BB				_("Bunker Blaster Cyborg")
R-Cyborg-Wpn-Cannon			_("Heavy Gunner Cyborg")
R-Cyborg-Wpn-Flamer			_("Flamer Cyborg")
R-Cyborg-Wpn-MG				_("Machinegunner Cyborg")
R-Cyborg-Wpn-Rocket			"*NOT USED Lancer Cyborg*"
R-Cyborg-Wpn-RotMG-Grd			"*NOT USED Assault Gunner Cyborg*"
R-Cyborg-Wpn-Rail1-Grd			"*NOT USED Needle Gunner Cyborg*"
R-Cyborg-Wpn-ATMiss-Grd			"*NOT USED Scourge Cyborg*"
R-Cyborg-Wpn-Laser1-Grd			"*NOT USED Flashlight Gunner Cyborg*"

R-Cyborg-Wpn-BB-Jump			_("Jump Bunker Blaster")
R-Cyborg-Wpn-Cannon-Jump		_("Jump Heavy Gunner")
R-Cyborg-Wpn-Rocket-Jump		_("Jump Lancer")
R-Cyborg-Wpn-RotMG-Jump			_("Jump Assault Gunner")
R-Cyborg-Wpn-Rail1-Jump			_("Jump Needle Gunner")
R-Cyborg-Wpn-ATMiss-Jump		_("Jump Scourge")
R-Cyborg-Wpn-Laser1-Jump		_("Jump Flashlight Gunner")

R-Cyborg-Jump01				_("Cyborg Jump Pack")
R-Cyborg-Legs01				_("Cyborg Propulsion")
R-Cyborg-Legs02				_("Cyborg Propulsion II")
R-Cyborg-Legs03				_("Cyborg Propulsion III")

/* RESEARCH - DEFENSES */
R-Defense-HardcreteWall			_("Hardcrete")
//R-Defense-HardcreteWall-CO		_("CO-Hardcrete")
R-Defense-HardcreteWall-NP		_("NP-Hardcrete")
//R-Defense-HardcreteWall-NX		_("NX-Hardcrete")

R-Defense-WallUpgrade01			_("Improved Hardcrete")
R-Defense-WallUpgrade02			_("Improved Hardcrete Mk2")
R-Defense-WallUpgrade03			_("Improved Hardcrete Mk3")
R-Defense-WallUpgrade04			_("Supercrete")
R-Defense-WallUpgrade05			_("Supercrete Mk2")
R-Defense-WallUpgrade06			_("Supercrete Mk3")
R-Defense-WallUpgrade07			_("Plascrete")
R-Defense-WallUpgrade08			_("Plascrete Mk2")
R-Defense-WallUpgrade09			_("Plascrete Mk3")
R-Defense-WallUpgrade10			_("Plasteel")
R-Defense-WallUpgrade11			_("Plasteel Mk2")
R-Defense-WallUpgrade12			_("Plasteel Mk3")

R-Defense-AASite-QuadBof		_("AA Flak Cannon Emplacement")
R-Defense-AASite-QuadMg1		_("Hurricane AA Site")
R-Defense-AASite-QuadRotMg		_("Whirlwind AA Site")
R-Defense-AASite-TwinBof		_("Tornado AA Flak Site")

R-Defense-Emplacement-HPVcannon	_("Heavy HPV Cannon Bunker")
R-Defense-Bunker-HPVcannon		_("Heavy Cannon Bunker")

R-Defense-FlamerEmp			_("Stormbringer AA Site")
R-Defense-Howitzer			_("Howitzer Emplacement")
R-Defense-HvyA-Trocket			_("Tank Killer Bunker")
R-Defense-HvyFlamer			_("Inferno Emplacement")
R-Defense-HvyHowitzer			_("Heavy Howitzer Emplacement")
R-Defense-HvyMor				_("Bombard Pit")

//R-Defense-IncHow				_("Hellfire Emplacement")
R-Defense-IDFRocket			_("Ripple Rocket Battery")

R-Defense-MdArtMissile			_("Seraph Missile Battery")
R-Defense-HvyArtMissile			_("Archangel Missile Battery")
R-Defense-MortarPit			_("Mortar Pit")
R-Defense-MRL				_("Mini-Rocket Battery")

R-Defense-Pillbox01			_("Machinegun Bunker")
R-Defense-Pillbox03			_("Heavy Machinegun Bunker")
R-Defense-Pillbox04			_("Light Cannon Bunker")
R-Defense-Pillbox05			_("Flamer Emplacement")
R-Defense-Pillbox06			_("Twin Minipod Bunker")
R-Defense-PulseLas			_("Flashlight Laser Tower")

R-DefenssLas				_("Flashlight Emplacement")

R-Defense-Rail2				_("Twin Assault Needlegun Bunker")
R-Defense-Rail3				_("Gauss Cannon Bunker")
R-Defense-RotCannon			"*NOT USED Assault Cannon Emplacement*"
R-Defense-RotHow				_("Rotary Howitzer Emplacement")
R-Defense-RotMG				_("Twin Assault Gun Bunker")
R-Defense-RotMor				_("Pepperpot Pit")

R-Defense-SamSite1			_("Avenger SAM Site")
R-Defense-SamSite2			_("Vindicator SAM Site")

R-Defense-TankTrap01			_("Tank Traps")
R-Defense-TankTrap02			_("Dragon's Teeth")

R-Defense-Tower01				_("Machinegun Guard Tower")
R-Defense-Tower03				_("Heavy Machinegun Tower")
R-Defense-Tower04				_("Flamer Tower")
R-Defense-Tower05				_("Lancer Tower")
R-Defense-Tower06				_("Minipod Tower")

R-Defense-GuardTower-ATMiss		_("Scourge Missile Bunker")
R-Defense-GuardTower-Rail1		_("Needlegun Tower")

R-Defense-WallTower01			_("Heavy Machinegun Hardpoint")
R-Defense-WallTower02			_("Light Cannon Hardpoint")
R-Defense-WallTower03			_("Medium Cannon Hardpoint")
R-Defense-WallTower04			_("Heavy Cannon Hardpoint")
R-Defense-WallTower05			_("Flamer Hardpoint")
R-Defense-WallTower06			_("Lancer Hardpoint")
R-Defense-Wall-RotMg			_("Assault Gun Hardpoint")
R-Defense-Wall-VulcanCan		_("Assault Cannon Hardpoint")
R-Defense-WallTower-A-Tmiss		_("Scourge Missile Hardpoint")
R-Defense-WallTower-HvyFlamer		"*NOT USED Inferno Hardpoint*"
R-Defense-WallTower-HvyA-Trocket	_("Tank Killer Hardpoint")
R-Defense-WallTower-HPVcannon		_("Medium HPV Cannon Hardpoint")
R-Defense-WallTower-PulseLas		_("Heavy Pulse Laser Cannon Hardpoint")
R-Defense-WallTower-Rail2		_("Railgun Hardpoint")
R-Defense-WallTower-Rail3		_("Gauss Cannon Hardpoint")

R-Struc-CommandRelay			_("Command Relay Post")

R-Struc-Factory-Cyborg			_("Cyborg Factory")
R-Struc-Factory-Cyborg-Upgrade01	"*NOT USED Automated Cyborg Production*"
R-Struc-Factory-Cyborg-Upgrade02	"*NOT USED Automated Cyborg Production Mk2*"
R-Struc-Factory-Cyborg-Upgrade03	"*NOT USED Automated Cyborg Production Mk3*"
R-Struc-Factory-Cyborg-Upgrade04	"*NOT USED Robotic Cyborg Production*"
R-Struc-Factory-Cyborg-Upgrade05	"*NOT USED Robotic Cyborg Production Mk2*"
R-Struc-Factory-Cyborg-Upgrade06	"*NOT USED Robotic Cyborg Production Mk3*"
R-Struc-Factory-Cyborg-Upgrade07	"*NOT USED Advanced Cyborg Production*"
R-Struc-Factory-Cyborg-Upgrade08	"*NOT USED Advanced Cyborg Production Mk2*"
R-Struc-Factory-Cyborg-Upgrade09	"*NOT USED Advanced Cyborg Production Mk3*"
//R-Struc-Factory-Cyborg-Upgrade10	"*NOT USED Self-Replicating Cyborg Production*"
R-Struc-Factory-Module			_("Factory Module")
R-Struc-Factory-Upgrade01		_("Automated Manufacturing")
R-Struc-Factory-Upgrade02		_("Automated Manufacturing Mk2")
R-Struc-Factory-Upgrade03		_("Automated Manufacturing Mk3")
R-Struc-Factory-Upgrade04		_("Robotic Manufacturing")
R-Struc-Factory-Upgrade05		_("Robotic Manufacturing Mk2")
R-Struc-Factory-Upgrade06		_("Robotic Manufacturing Mk3")
R-Struc-Factory-Upgrade07		_("Nanoscale Manufacturing")
R-Struc-Factory-Upgrade08		_("Nanoscale Manufacturing Mk2")
R-Struc-Factory-Upgrade09		_("Nanoscale Manufacturing Mk3")
R-Struc-Factory-Upgrade10		_("Advanced Manufacturing Mk3")
	
R-Struc-Materials01			_("Reinforced Structure Materials")
R-Struc-Materials02			_("Reinforced Structure Materials Mk2")
R-Struc-Materials03			_("Reinforced Structure Materials Mk3")
R-Struc-Materials04			_("High-Density Structure Materials")
R-Struc-Materials05			_("High-Density Structure Materials Mk2")
R-Struc-Materials06			_("High-Density Structure Materials Mk3")
R-Struc-Materials07			_("Ultra-High-Density Structure Materials")
R-Struc-Materials08			_("Ultra-High-Density Structure Materials Mk2")
R-Struc-Materials09			_("Ultra-High-Density Structure Materials Mk3")
//R-Struc-Materials10			_("High Density Base Structure Materials")

R-Struc-PowerModuleMk1			_("Power Module")
R-Struc-Power-Upgrade01			_("Gas Turbine Generator")
R-Struc-Power-Upgrade02			_("Gas Turbine Generator Mk2")
R-Struc-Power-Upgrade03			_("Gas Turbine Generator Mk3")
R-Struc-Power-Upgrade04			_("Vapor Turbine Generator")
R-Struc-Power-Upgrade05			_("Vapor Turbine Generator Mk2")
R-Struc-Power-Upgrade06			_("Vapor Turbine Generator Mk3")
R-Struc-Power-Upgrade07			_("Plasma Turbine Generator")
R-Struc-Power-Upgrade08			_("Plasma Turbine Generator Mk2")
R-Struc-Power-Upgrade09			_("Plasma Turbine Generator Mk3")

R-Struc-RepairFacility			_("Repair Facility")
R-Struc-RprFac-Upgrade01		_("Automated Repair Facility")
R-Struc-RprFac-Upgrade02		_("Automated Repair Facility Mk2")
R-Struc-RprFac-Upgrade03		_("Automated Repair Facility Mk3")
R-Struc-RprFac-Upgrade04		_("Robotic Repair Facility")
R-Struc-RprFac-Upgrade05		_("Robotic Repair Facility Mk2")
R-Struc-RprFac-Upgrade06		_("Robotic Repair Facility Mk3")
R-Struc-RprFac-Upgrade07		_("Nanite Repair Facility")
R-Struc-RprFac-Upgrade08		_("Nanite Repair Facility Mk2")
R-Struc-RprFac-Upgrade09		_("Nanite Repair Facility Mk3")

R-Struc-Research-Module			_("Research Module")
R-Struc-Research-Upgrade01		_("Synaptic Link Data Analysis")
R-Struc-Research-Upgrade02		_("Synaptic Link Data Analysis Mk2")
R-Struc-Research-Upgrade03		_("Synaptic Link Data Analysis Mk3")
R-Struc-Research-Upgrade04		_("Dedicated Synaptic Link Data Analysis")
R-Struc-Research-Upgrade05		_("Dedicated Synaptic Link Data Analysis Mk2")
R-Struc-Research-Upgrade06		_("Dedicated Synaptic Link Data Analysis Mk3")
R-Struc-Research-Upgrade07		_("Neural Synapse Research Brain")
R-Struc-Research-Upgrade08		_("Neural Synapse Research Brain Mk2")
R-Struc-Research-Upgrade09		_("Neural Synapse Research Brain Mk3")

R-Struc-VTOLPad				_("VTOL Rearming Pad")
R-Struc-VTOLPad-Upgrade01		_("Automated VTOL Rearming")
R-Struc-VTOLPad-Upgrade02		_("Automated VTOL Rearming Mk2")
R-Struc-VTOLPad-Upgrade03		_("Automated VTOL Rearming Mk3")
R-Struc-VTOLPad-Upgrade04		_("Robotic VTOL Rearming")
R-Struc-VTOLPad-Upgrade05		_("Robotic VTOL Rearming Mk2")
R-Struc-VTOLPad-Upgrade06		_("Robotic VTOL Rearming Mk3")
R-Struc-VTOLPad-Upgrade07		_("Robotic VTOL Rearming Mk4")
R-Struc-VTOLFactory			_("VTOL Factory")
R-Struc-VTOLFactory-Upgrade01		"*NOT USED Robotic VTOL Production*"
R-Struc-VTOLFactory-Upgrade02		"*NOT USED Robotic VTOL Production Mk2*"
R-Struc-VTOLFactory-Upgrade03		"*NOT USED Robotic VTOL Production Mk3*"
R-Struc-VTOLFactory-Upgrade04		"*NOT USED Advanced VTOL Production*"
R-Struc-VTOLFactory-Upgrade05		"*NOT USED Advanced VTOL Production Mk2*"
R-Struc-VTOLFactory-Upgrade06		"*NOT USED Advanced VTOL Production Mk3*"

R-Sys-Autorepair-Cyborg			_("Cyborg Self-Repair")
R-Sys-Autorepair-Cyborg-Upgrade01	_("Automated Cyborg Repair Mk2")
R-Sys-Autorepair-Cyborg-Upgrade02	_("Automated Cyborg Repair Mk3")

R-Sys-Autorepair-Def			_("Defenses Self-Repair")
R-Sys-Autorepair-Def-Upgrade01	_("Automated Defenses Repair Mk2")
R-Sys-Autorepair-Def-Upgrade02	_("Automated Defenses Repair Mk3")

R-Sys-Autorepair-Struc			_("Base Structure Self-Repair")
R-Sys-Autorepair-Struc-Upgrade01	_("Automated Base Structure Repair Mk2")
R-Sys-Autorepair-Struc-Upgrade02	_("Automated Base Structure Repair Mk3")

R-Sys-Autorepair-Vehicle		_("Vehicle Self-Repair")
R-Sys-Autorepair-Vehicle-Upgrade01	_("Automated Vehicle Repair Mk2")
R-Sys-Autorepair-Vehicle-Upgrade02	_("Automated Vehicle Repair Mk3")

R-Sys-Autorepair-General		_("Automated Self-Repair System")
R-Sys-Autorepair-Upgrade01		_("Robotic Self-Repair System")
R-Sys-Autorepair-Upgrade02		_("Nanite Self-Repair System")

R-Sys-Sensor-Upgrade01			_("Sensor Upgrade")

R-Sys-Spade1Mk1				_("Construction Unit")

R-Sys-Engineering01			_("Engineering")
R-Sys-Engineering02			_("Improved Engineering")
R-Sys-Engineering03			_("Improved Engineering Mk2")
R-Sys-Engineering04			_("Improved Engineering Mk3")
R-Sys-Engineering05			_("Robotic Engineering")
R-Sys-Engineering06			_("Robotic Engineering Mk2")
R-Sys-Engineering07			_("Robotic Engineering Mk3")
R-Sys-Engineering08			_("Nanoscale Engineering")
R-Sys-Engineering09			_("Nanoscale Engineering Mk2")
R-Sys-Engineering10			_("Nanoscale Engineering Mk3")

R-Sys-MobileRepairTurret01		_("Mobile Repair Turret")
R-Sys-MobileRepairTurret-01		_("Mobile Repair Upgrade")
R-Sys-MobileRepairTurret-02		_("Mobile Repair Upgrade Mk2")

R-Sys-Sensor-Turret01			_("Sensor Turret")
R-Sys-Sensor-Tower01			_("Sensor Tower")
R-Sys-Sensor-Tower02			_("Hardcrete Sensor Tower")

R-Sys-CBSensor-Turret01			_("Counter-Battery Radar Turret")
R-Sys-CBSensor-Tower01			_("Counter-Battery Radar Tower")
R-Sys-CBSensor-Upgrade01		_("CB Sensor Upgrade")
R-Sys-CBSensor-Upgrade02		_("CB Sensor Upgrade 2")
R-Sys-CBSensor-Upgrade03		_("CB Sensor Upgrade 3")

R-Sys-VTOLCBS-Turret01			_("VTOL Counter-Battery Radar Turret")
//R-Sys-VTOL-RadarTower01		_("VTOL Radar Tower")
R-Sys-VTOLCBS-Tower01			_("VTOL Counter-Battery Radar Tower")
R-Sys-VTOLCBS-Upgrade01			_("VTOL CB Upgrade")
R-Sys-VTOLCBS-Upgrade02			_("VTOL CB Upgrade 2")
R-Sys-VTOLCBS-Upgrade03			_("VTOL CB Upgrade 3")
R-Sys-VTOLStrike-Upgrade01		_("VTOL Strike Upgrade")
R-Sys-VTOLStrike-Upgrade02		_("VTOL Strike Upgrade Mk2")
R-Sys-VTOLStrike-Upgrade03		_("VTOL Strike Upgrade Mk3")
R-Sys-VTOLStrike-Turret01		_("VTOL Strike Turret")
R-Sys-VTOLStrike-Tower01		_("VTOL Strike Tower")

R-Sys-SpyTurret				_("Hijacker Turret")
R-Sys-SpyTurret-Upgrade01		_("Improved Scrambler")
R-Sys-SpyTurret-Upgrade02		_("Scrambler Turret Mk2")

R-Sys-Resistance				_("Nexus Intruder Program")
R-Sys-Resistance-Upgrade01		_("System Repair Upgrade")
R-Sys-Resistance-Upgrade02		_("Antivirus Software Upgrade")
R-Sys-Resistance-Upgrade03		_("Automated Backup Systems")

R-Sys-SensorLock				_("Sensor Lock")


/* RESEARCH - VEHICLES */
R-Vehicle-Armor-Heat01			_("Thermal Armor")
R-Vehicle-Armor-Heat02			_("Thermal Armor Mk2")
R-Vehicle-Armor-Heat03			_("Thermal Armor Mk3")
R-Vehicle-Armor-Heat04			_("High Intensity Thermal Armor")
R-Vehicle-Armor-Heat05			_("High Intensity Thermal Armor Mk2")
R-Vehicle-Armor-Heat06			_("High Intensity Thermal Armor Mk3")

R-Vehicle-Body01				_("Light Body - Viper")
R-Vehicle-Body02				_("Light Body - Leopard")
R-Vehicle-Body03				_("Light Body - Retaliation")
R-Vehicle-Body04				_("Light Body - Bug")
R-Vehicle-Body05				_("Medium Body - Cobra")
R-Vehicle-Body06				_("Medium Body - Panther")
R-Vehicle-Body07				_("Medium Body - Retribution")
R-Vehicle-Body08				_("Medium Body - Scorpion")
R-Vehicle-Body09				_("Heavy Body - Tiger")
R-Vehicle-Body10				_("Heavy Body - Vengeance")
R-Vehicle-Body11				_("Heavy Body - Python")
R-Vehicle-Body12				_("Heavy Body - Mantis")
	
R-Vehicle-Engine01			_("Fuel Injection Engine")
R-Vehicle-Engine02			_("Turbo-Charged Engine")
R-Vehicle-Engine03			_("Turbo-Charged Engine Mk2")
R-Vehicle-Engine04			_("Turbo-Charged Engine Mk3")
R-Vehicle-Engine05			_("Gas Turbine Engine")
R-Vehicle-Engine06			_("Gas Turbine Engine Mk2")
R-Vehicle-Engine07			_("Gas Turbine Engine Mk3")
R-Vehicle-Engine08			_("Ionized Turbine Engine")
R-Vehicle-Engine09			_("Ionized Turbine Engine Mk2")
R-Vehicle-Engine10			_("Ionized Turbine Engine Mk3")

R-Vehicle-Metals01			_("Composite Alloys")
R-Vehicle-Metals02			_("Composite Alloys Mk2")
R-Vehicle-Metals03			_("Composite Alloys Mk3")
R-Vehicle-Metals04			_("Dense Composite Alloys")
R-Vehicle-Metals05			_("Dense Composite Alloys Mk2")
R-Vehicle-Metals06			_("Dense Composite Alloys Mk3")
R-Vehicle-Metals07			_("Superdense Composite Alloys")
R-Vehicle-Metals08			_("Superdense Composite Alloys Mk2")
R-Vehicle-Metals09			_("Superdense Composite Alloys Mk3")
//R-Vehicle-Metals10			_("Bonded Laminates")
	
R-Vehicle-Prop-Hover			_("Hover Propulsion")
R-Vehicle-Prop-Hover02			_("Hover Propulsion II")
//R-Vehicle-Prop-Hover03			_("Hover Propulsion III")
R-Vehicle-Prop-Halftracks		_("Half-tracked Propulsion")
R-Vehicle-Prop-Halftracks02		_("Half-tracked Propulsion II")
//R-Vehicle-Prop-Halftracks03		_("Half-tracked Propulsion III")
R-Vehicle-Prop-Tracks			_("Tracked Propulsion")
R-Vehicle-Prop-Tracks02			_("Tracked Propulsion II")
//R-Vehicle-Prop-Tracks03			_("Tracked Propulsion III")
R-Vehicle-Prop-VTOL			_("VTOL Propulsion")
R-Vehicle-Prop-VTOL02			_("VTOL Propulsion II")
//R-Vehicle-Prop-VTOL03			_("VTOL Propulsion III")
R-Vehicle-Prop-Wheels			_("Wheeled Propulsion")
R-Vehicle-Prop-Wheels02			_("Wheeled Propulsion II")
//R-Vehicle-Prop-Wheels03			_("Wheeled Propulsion III")

R-Wpn-AAGun01				_("Tornado Flak Gun")
R-Wpn-AAGun02				_("AA Flak Cannon")
R-Wpn-AAGun03				_("Hurricane AA Gun")
R-Wpn-AAGun04				_("Whirlwind AA Gun")
R-Wpn-AAGun-Accuracy01			_("AA Thermal Imaging Sensor")
R-Wpn-AAGun-Accuracy02			_("AA Target Acquisition Shells")
R-Wpn-AAGun-Accuracy03			_("AA Target Prediction Computer")
R-Wpn-AAGun-Damage01			_("AA HE Flak")
R-Wpn-AAGun-Damage02			_("AA HE Flak Mk2")
R-Wpn-AAGun-Damage03			_("AA HE Flak Mk3")
R-Wpn-AAGun-Damage04			_("AA HEAP Flak")
R-Wpn-AAGun-Damage05			_("AA HEAP Flak Mk2")
R-Wpn-AAGun-Damage06			_("AA HEAP Flak Mk3")
R-Wpn-AAGun-ROF01				_("AA Ammunition Hopper")
R-Wpn-AAGun-ROF02				_("AA Ammunition Hopper Mk2")
R-Wpn-AAGun-ROF03				_("AA Ammunition Hopper Mk3")
R-Wpn-AAGun-ROF04				_("AA Chainfeed Loader")
R-Wpn-AAGun-ROF05				_("AA Chainfeed Loader Mk2")
R-Wpn-AAGun-ROF06				_("AA Chainfeed Loader Mk3")

//R-Wpn-Pbomb					_("Proximity Bomb Turret")
//R-Wpn-SPBomb				_("Proximity Superbomb Turret")

R-Wpn-Bomb01				_("Cluster Bomb Bay")
R-Wpn-Bomb02				_("HEAP Bomb Bay")
R-Wpn-Bomb03				_("Phosphor Bomb Bay")
R-Wpn-Bomb04				_("Thermite Bomb Bay")

R-Wpn-Bomb-Accuracy01			_("HE Bomb Shells")
R-Wpn-Bomb-Accuracy02			_("Improved Bomb Warhead")
R-Wpn-Bomb-Accuracy03			_("Advanced Bomb Warhead")

R-Wpn-Bomb-Damage01			_("HEAP Bomb Shells")
R-Wpn-Bomb-Damage02			_("HEAP Bomb Shells Mk2")
R-Wpn-Bomb-Damage03			_("HEAP Bomb Shells Mk3")
R-Wpn-Bomb-Damage04			_("Depleted Uranium Bomb Shells")
R-Wpn-Bomb-Damage05			_("Depleted Uranium Bomb Shells Mk2")
R-Wpn-Bomb-Damage06			_("Depleted Uranium Bomb Shells Mk3")

R-Wpn-Cannon-Accuracy01			_("Fin-Stabilized Cannon Rounds")
R-Wpn-Cannon-Accuracy02			_("Fin-Stabilized Cannon Rounds Mk2")
R-Wpn-Cannon-Accuracy03			_("Fin-Stabilized Cannon Rounds Mk3")
R-Wpn-Cannon-Accuracy04			_("Cannon Targeting Computer")
R-Wpn-Cannon-Accuracy05			_("Cannon Targeting Computer Mk2")
R-Wpn-Cannon-Accuracy06			_("Cannon Targeting Computer Mk3")
R-Wpn-Cannon-Accuracy07			_("Cannon Target Prediction Computer")
R-Wpn-Cannon-Accuracy08			_("Cannon Target Prediction Computer Mk2")
R-Wpn-Cannon-Accuracy09			_("Cannon Target Prediction Computer Mk3")

R-Wpn-Cannon-Damage01			_("HE Cannon Shells")
R-Wpn-Cannon-Damage02			_("APDS Cannon Rounds")
R-Wpn-Cannon-Damage03			_("APDS Cannon Rounds Mk2")
R-Wpn-Cannon-Damage04			_("APDS Cannon Rounds Mk3")
R-Wpn-Cannon-Damage05			_("HVAPDS Cannon Rounds")
R-Wpn-Cannon-Damage06			_("HVAPDS Cannon Rounds Mk2")
R-Wpn-Cannon-Damage07			_("HVAPDS Cannon Rounds Mk3")
R-Wpn-Cannon-Damage08			_("Depleted Uranium Cannon Shells")
R-Wpn-Cannon-Damage09			_("Depleted Uranium Cannon Shells Mk2")
R-Wpn-Cannon-Damage10			_("Depleted Uranium Cannon Shells Mk3")

R-Wpn-Cannon-ROF01			_("Cannon Autoloader")
R-Wpn-Cannon-ROF02			_("Cannon Autoloader Mk2")
R-Wpn-Cannon-ROF03			_("Cannon Autoloader Mk3")
R-Wpn-Cannon-ROF04			_("Cannon Robotic Loader")
R-Wpn-Cannon-ROF05			_("Cannon Robotic Loader Mk2")
R-Wpn-Cannon-ROF06			_("Cannon Robotic Loader Mk3")
R-Wpn-Cannon-ROF07			_("Cannon Coolant System")
R-Wpn-Cannon-ROF08			_("Cannon Coolant System Mk2")
R-Wpn-Cannon-ROF09			_("Cannon Coolant System Mk3")

R-Wpn-Cannon1Mk1				_("Light Cannon")
R-Wpn-Cannon2Mk1				_("Medium Cannon")
R-Wpn-Cannon3Mk1				_("Heavy Cannon")
R-Wpn-Cannon4AMk1				_("Medium Hyper-Velocity Cannon")
R-Wpn-Cannon5				_("Assault Cannon")

R-Wpn-Energy-Accuracy01			_("Laser Targeting Computer")
R-Wpn-Energy-Accuracy02			_("Laser Targeting Computer Mk2")
R-Wpn-Energy-Accuracy03			_("Laser Targeting Computer Mk3")
R-Wpn-Energy-Accuracy04			_("Laser Target Prediction Computer")
R-Wpn-Energy-Accuracy05			_("Laser Target Prediction Computer Mk2")
R-Wpn-Energy-Accuracy06			_("Laser Target Prediction Computer Mk3")

R-Wpn-Energy-Damage01			_("Improved Laser Focusing")
R-Wpn-Energy-Damage02			_("Improved Laser Focusing Mk2")
R-Wpn-Energy-Damage03			_("Improved Laser Focusing Mk3")
R-Wpn-Energy-Damage04			_("High-Energy Laser Emitter")
R-Wpn-Energy-Damage05			_("High-Energy Laser Emitter Mk2")
R-Wpn-Energy-Damage06			_("High-Energy Laser Emitter Mk3")

R-Wpn-Energy-ROF01			_("Improved Laser Energizer")
R-Wpn-Energy-ROF02			_("Improved Laser Energizer Mk2")
R-Wpn-Energy-ROF03			_("Improved Laser Energizer Mk3")
R-Wpn-Energy-ROF04			_("Laser Coolant System")
R-Wpn-Energy-ROF05			_("Laser Coolant System Mk2")
R-Wpn-Energy-ROF06			_("Laser Coolant System Mk3")

R-Wpn-Flamer-Damage01			_("High Temperature Flamer Gel")
R-Wpn-Flamer-Damage02			_("High Temperature Flamer Gel Mk2")
R-Wpn-Flamer-Damage03			_("High Temperature Flamer Gel Mk3")
R-Wpn-Flamer-Damage04			_("Superhot Flamer Gel")
R-Wpn-Flamer-Damage05			_("Superhot Flamer Gel Mk2")
R-Wpn-Flamer-Damage06			_("Superhot Flamer Gel Mk3")

R-Wpn-Flamer-ROF01			_("Flamer Autoloader")
R-Wpn-Flamer-ROF02			_("Flamer Autoloader Mk2")
R-Wpn-Flamer-ROF03			_("Flamer Autoloader Mk3")
R-Wpn-Flamer-ROF04			_("Flamer Robotic Loader")
R-Wpn-Flamer-ROF05			_("Flamer Robotic Loader Mk2")
R-Wpn-Flamer-ROF06			_("Flamer Robotic Loader Mk3")
R-Wpn-Flamer-ROF07			_("Flamer Coolant System")
R-Wpn-Flamer-ROF08			_("Flamer Coolant System Mk2")
R-Wpn-Flamer-ROF09			_("Flamer Coolant System Mk3")

R-Wpn-Flamer01Mk1				_("Light Flamer")
R-Wpn-Flame2				_("Light Thermite Flamer")

R-Wpn-HowitzerMk1				_("Howitzer")
R-Wpn-HvyHowitzer				_("Heavy Howitzer")
