Research ID,Component ID,Type,Replaced Component,Replaced Type,unused
R-Wpn-Missile-LtSAM,Missile-LtSAM,WEAPON,0,0,10
R-Wpn-Missile-LtSAM,Missile-LtSAM-VTOL,WEAPON,0,0,10
R-Wpn-Missile-LtSAM,HvyCyb-Bod-Missile-LtSAM,BODY,0,0,10
R-Wpn-Missile-HvSAM,Missile-HvySAM,WEAPON,0,0,10
R-Wpn-Missile-HvSAM,Missile-HvySAM-VTOL,WEAPON,0,0,10
R-Wpn-Missile-LtSAM2,Missile-LtSAM2,WEAPON,0,0,10
R-Wpn-Missile-LtSAM2,Missile-LtSAM2-VTOL,WEAPON,0,0,10
R-Wpn-Missile-LtSAM2,HvyCyb-Bod-Missile-HvySAM,BODY,0,0,10
R-Wpn-Missile-HvSAM2,Missile-HvySAM2,WEAPON,0,0,10
R-Wpn-Missile-HvSAM2,Missile-HvySAM2-VTOL,WEAPON,0,0,10
R-Wpn-MdArtMissile,Missile-MdArt,WEAPON,0,0,10
R-Wpn-MdArtMissile,Missile-VTOL-MdArt,WEAPON,0,0,10
R-Wpn-MdArtMissile,HvyCyb-Bod-Missile-MdArt,BODY,0,0,10
R-Wpn-MdArtMissileHvy,Missile-MdArtHvy,WEAPON,0,0,10
R-Wpn-MdArtMissileHvy,Missile-VTOL-MdArtHvy,WEAPON,0,0,10
R-Wpn-HvArtMissile,Missile-HvyArt,WEAPON,0,0,10
R-Wpn-Rocket-PodTwin,Rocket-PodTwin,WEAPON,0,0,0
R-Wpn-Rocket-PodQuad,Rocket-PodQuad,WEAPON,0,0,0
R-Wpn-Rocket-Pod2,Rocket-Pod2,WEAPON,0,0,0
R-Wpn-Rocket-Pod2,Rocket-VTOL-Pod2,WEAPON,0,0,0
R-Wpn-Rocket-Pod2,HvyCyb-Bod-Rocket-Pod2,BODY,0,0,0
R-Wpn-Rocket-Pod2Twin,Rocket-Pod2Twin,WEAPON,0,0,0
R-Wpn-Rocket-Pod2Quad,Rocket-Pod2Quad,WEAPON,0,0,0
R-Wpn-Rocket-Pod3,Rocket-Pod3,WEAPON,0,0,0
R-Wpn-Rocket-Pod3,Rocket-VTOL-Pod3,WEAPON,0,0,0
R-Wpn-Rocket-Pod3,HvyCyb-Bod-Rocket-Pod3,BODY,0,0,0
R-Wpn-Rocket-Pod3Twin,Rocket-Pod3Twin,WEAPON,0,0,0
R-Wpn-Rocket-Pod3Quad,Rocket-Pod3Quad,WEAPON,0,0,0
R-Wpn-Rocket-BB2,Rocket-BB2,WEAPON,0,0,0
R-Wpn-Rocket-BB2,Rocket-VTOL-BB2,WEAPON,0,0,0
R-Wpn-Rocket-TopAttack,Rocket-TopAttack,WEAPON,0,0,0
R-Wpn-Rocket-TopAttack,Rocket-VTOL-TopAttack,WEAPON,0,0,0
R-Wpn-Rocket-TopAttack,HvyCyb-Bod-Rocket-TopAttack,BODY,0,0,0
R-Wpn-Rocket-TopAttackHvy,Rocket-TopAttackHvy,WEAPON,0,0,0
R-Wpn-Rocket-TopAttackHvy,Rocket-VTOL-TopAttackHvy,WEAPON,0,0,0
R-Wpn-Rocket-TopAtkInc,Rocket-TopAtkInc,WEAPON,0,0,0
R-Wpn-Rocket-TopAtkInc,Rocket-VTOL-TopAtkInc,WEAPON,0,0,0
R-Wpn-Rocket-TopAtkInc,HvyCyb-Bod-Rocket-TopAtkInc,BODY,0,0,0
R-Wpn-Rocket-TopAtkIncHvy,Rocket-TopAtkIncHvy,WEAPON,0,0,0
R-Wpn-Rocket-TopAtkIncHvy,Rocket-VTOL-TopAtkIncHvy,WEAPON,0,0,0
R-Wpn-Rocket-TopAtkPlas,Rocket-TopAtkPlas,WEAPON,0,0,0
R-Wpn-Rocket-TopAtkPlas,Rocket-VTOL-TopAtkPlas,WEAPON,0,0,0
R-Wpn-Rocket-TopAtkPlas,HvyCyb-Bod-Rocket-TopAtkPlas,BODY,0,0,0
R-Wpn-Rocket-TopAtkPlasHvy,Rocket-TopAtkPlasHvy,WEAPON,0,0,0
R-Wpn-Rocket-TopAtkPlasHvy,Rocket-VTOL-TopAtkPlasHvy,WEAPON,0,0,0
R-Wpn-Rocket-Cherub,Rocket-Cherub,WEAPON,0,0,0
R-Wpn-Rocket-Cherub,Rocket-VTOL-Cherub,WEAPON,0,0,0
R-Wpn-Rocket-Cherub,Cyb-Bod-Rocket-Cherub,BODY,0,0,10
R-Wpn-Rocket-Cherub,HvyCyb-Bod-Rocket-Cherub,BODY,0,0,10
R-Wpn-Rocket-Gattling,Rocket-Gattling,WEAPON,0,0,0
R-Wpn-Rocket-LasProp-AT,Rocket-LasProp-AT,WEAPON,0,0,0
R-Wpn-Rocket-LasProp-AP,Rocket-LasProp-AP,WEAPON,0,0,0
R-Wpn-Rocket-LasProp-Plas,Rocket-LasProp-Plas,WEAPON,0,0,0
R-REW-Sys-Autorepair-General,AutoRepair,REPAIR,ZNULLREPAIR,REPAIR,6
R-Wpn-Laser-AsltLsr,P0Cam4WeapAsstLas,WEAPON,0,0,10
R-Wpn-Laser-AsltLsr,P0Cam4WeapAsstLasVTOL,WEAPON,0,0,10
R-Wpn-Laser-AsltLsrTwin,P0Cam4WeapAsstLasTwin,WEAPON,0,0,10
